Reference, Value, Footprint, Datasheet, MPN, Manuf, BOM
"U2","ATSAMD21Ennc-AU","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","http://www.atmel.com/images/atmel-42181-sam-d21_datasheet.pdf","ATSAMD21Ennc-AU","Microchip","Microchip ATSAMD21Ennc-AU"
"C2","0.1uF","Capacitors_SMD:C_0805_HandSoldering",""
"C3","0.1uF","Capacitors_SMD:C_0805_HandSoldering",""
"C1","0.1uF","Capacitors_SMD:C_0805_HandSoldering",""
"U1","MIC5219-3.3BM5","TO_SOT_Packages_SMD:SOT-23-5",""
"C5","470pF","Capacitors_SMD:C_0805_HandSoldering",""
"C6","4.7uF","Capacitors_SMD:C_0805_HandSoldering",""
"P3","CONN_01X10","my-fp-library:MOLEX_0.5MM_505278",""
"SW1","SW_Reset","Buttons_Switches_SMD:SW_SPST_B3U-3000P",""
"C11","0.1uF","Capacitors_SMD:C_0805_HandSoldering",""
"U5","74HC1G14GW","TO_SOT_Packages_SMD:SOT-353_SC-70-5_Handsoldering",""
"R5","1M","Resistors_SMD:R_0805_HandSoldering",""
"C4","0.1uF","Capacitors_SMD:C_0805_HandSoldering",""
"R1","249","Resistors_SMD:R_0805_HandSoldering",""
"U3","DS3231MZ","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C9","0.1uF","Capacitors_SMD:C_0805_HandSoldering",""
"SW2","SW_Up","Buttons_Switches_SMD:SW_SPDT_EBAY_3PIN_VERT",""
"SW3","SW_Middle","Buttons_Switches_SMD:SW_SPDT_EBAY_3PIN_VERT",""
"SW4","SW_Down","Buttons_Switches_SMD:SW_SPDT_EBAY_3PIN_VERT",""
"R3","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R2","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"J1","USB_OTG","Connectors:USB-MICROB_LARGEPAD",""
"J2","CONN_01X05","Pin_Headers:Pin_Header_Straight_1x05_Pitch1.27mm",""
"C14","0.1uF","Capacitors_SMD:C_0805_HandSoldering",""
"U4","MCP7940N-I/SN","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20005010F.pdf","MCP7940N-I/SN","Microchip","Microchip MCP7940N-I/SN"
"BT1","Battery_Cell","Connectors:CR2032-001",""
"D1","LED","LEDs:LED_0805",""
"R4","499","Resistors_SMD:R_0805_HandSoldering",""
"R6","10K","Resistors_SMD:R_0805_HandSoldering",""
"U6","MH2mm","my-fp-library:MH2.1mm",""
"U7","MH2mm","my-fp-library:MH2.1mm",""
"U8","MH2mm","my-fp-library:MH2.1mm",""
"U9","MH2mm","my-fp-library:MH2.1mm",""
"J1","CONN_02X05","Pin_Headers:Pin_Header_Straight_2x05_Pitch1.27mm",""
"J2","CONN_01X05","Pin_Headers:Pin_Header_Straight_1x05_Pitch1.27mm",""
"Q1","DMP1045U","TO_SOT_Packages_SMD:TSOT-23_HandSoldering",""
"U1","LTC4412","TO_SOT_Packages_SMD:SOT-23-6_Handsoldering",""
"C1","10uF","Capacitors_SMD:C_0805_HandSoldering",""
"D1","ZLLS410","Diodes_SMD:D_SOD-323_HandSoldering",""
"H1","MH2mm","my-fp-library:MH2.1mm",""
"H2","MH2mm","my-fp-library:MH2.1mm",""
