Reference, Value, Footprint, Datasheet, BOM, MPN, Manuf
"C1","4.7uF","Capacitors_SMD:C_0805_HandSoldering",""
"R1","220","Resistors_SMD:R_0805_HandSoldering",""
"D1","LED","LEDs:LED_0805",""
"R2","5K6","Resistors_SMD:R_0805_HandSoldering",""
"C2","4.7uF","Capacitors_SMD:C_0805_HandSoldering",""
"P1","BATT","my-fp-library:Battery Pads 3x3",""
"Q1","DMP1045U","TO_SOT_Packages_SMD:SOT-23",""
"C3","1uF","Capacitors_SMD:C_0805_HandSoldering",""
"D2","ZLLS410","Diodes_SMD:D_SOD-323_HandSoldering",""
"R3","47K","Resistors_SMD:R_0805_HandSoldering",""
"R4","47K","Resistors_SMD:R_0805_HandSoldering",""
"U1","MCP73831T-2ACI_OT","TO_SOT_Packages_SMD:SOT-23-5_HandSoldering","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","Microchip MCP73831T-2ACI/OT","MCP73831T-2ACI/OT","Microchip"
"J1","CONN_01X05","Pin_Headers:Pin_Header_Straight_1x05_Pitch1.27mm",""
